Gene Accession Number,Gene Definition,Sample Source,Gene Organism,Isolation Source,Collection Date,Collection Country,Taxon ID,BioProject,BioSample,Assembly,Reference_1,Reference_2,Reference_3,Reference_4,Reference_5,Reference_6,Reference_7,Reference_8,Reference_9,Reference_10,Reference_11,Reference_12,Reference_13,Reference_14,Reference_15,Reference_16,Reference_17,Reference_18,Reference_19,Reference_20,Reference_21,Reference_22,Reference_23,Reference_24,Reference_25,Reference_26,Reference_27,Reference_28,Reference_29,Reference_30,Reference_31,new_collection_date
NC_018645.1,"Desulfobacula toluolica Tol2, complete sequence",Desulfobacula toluolica Tol2,Desulfobacula toluolica Tol2,,,,taxon:651182,BioProject:PRJNA224116,BioSample:SAMEA2272293,Assembly:GCF_000307105.1,"Complete genome, catabolic sub-proteomes and key-metabolites of Desulfobacula toluolica Tol2, a marine, aromatic compound-degrading, sulfate-reducing bacterium",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_018645.1,"Desulfobacula toluolica Tol2, complete sequence",Desulfobacula toluolica Tol2,Desulfobacula toluolica Tol2,,,,taxon:651182,BioProject:PRJNA224116,BioSample:SAMEA2272293,Assembly:GCF_000307105.1,"Complete genome, catabolic sub-proteomes and key-metabolites of Desulfobacula toluolica Tol2, a marine, aromatic compound-degrading, sulfate-reducing bacterium",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_018645.1,"Desulfobacula toluolica Tol2, complete sequence",Desulfobacula toluolica Tol2,Desulfobacula toluolica Tol2,,,,taxon:651182,BioProject:PRJNA224116,BioSample:SAMEA2272293,Assembly:GCF_000307105.1,"Complete genome, catabolic sub-proteomes and key-metabolites of Desulfobacula toluolica Tol2, a marine, aromatic compound-degrading, sulfate-reducing bacterium",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019847.2,"Sinorhizobium meliloti GR4 plasmid pRmeGR4b, complete sequence",Sinorhizobium meliloti GR4,Sinorhizobium meliloti GR4,,,,taxon:1235461,BioProject:PRJNA224116,BioSample:SAMN02603224,Assembly:GCF_000320385.2,Complete genome sequence of the alfalfa symbiont Sinorhizobium/Ensifer meliloti strain GR4,Insights into the forces driving genome evolution in Sinorhizobium meliloti populations,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019902.2,"Thioalkalivibrio nitratireducens DSM 14787, complete sequence",Thioalkalivibrio nitratireducens DSM 14787,Thioalkalivibrio nitratireducens DSM 14787,,,,taxon:1255043,BioProject:PRJNA224116,BioSample:SAMN02602962,Assembly:GCF_000321415.2,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019902.2,"Thioalkalivibrio nitratireducens DSM 14787, complete sequence",Thioalkalivibrio nitratireducens DSM 14787,Thioalkalivibrio nitratireducens DSM 14787,,,,taxon:1255043,BioProject:PRJNA224116,BioSample:SAMN02602962,Assembly:GCF_000321415.2,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019902.2,"Thioalkalivibrio nitratireducens DSM 14787, complete sequence",Thioalkalivibrio nitratireducens DSM 14787,Thioalkalivibrio nitratireducens DSM 14787,,,,taxon:1255043,BioProject:PRJNA224116,BioSample:SAMN02602962,Assembly:GCF_000321415.2,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019902.2,"Thioalkalivibrio nitratireducens DSM 14787, complete sequence",Thioalkalivibrio nitratireducens DSM 14787,Thioalkalivibrio nitratireducens DSM 14787,,,,taxon:1255043,BioProject:PRJNA224116,BioSample:SAMN02602962,Assembly:GCF_000321415.2,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019906.1,"Pseudomonas putida HB3267 plasmid pPC9, complete sequence",Pseudomonas putida HB3267,Pseudomonas putida HB3267,,,,taxon:1215088,BioProject:PRJNA224116,BioSample:SAMN02604102,Assembly:GCF_000325725.1,Antibiotic resistance determinants in a Pseudomonas putida strain isolated from a hospital,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019906.1,"Pseudomonas putida HB3267 plasmid pPC9, complete sequence",Pseudomonas putida HB3267,Pseudomonas putida HB3267,,,,taxon:1215088,BioProject:PRJNA224116,BioSample:SAMN02604102,Assembly:GCF_000325725.1,Antibiotic resistance determinants in a Pseudomonas putida strain isolated from a hospital,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019906.1,"Pseudomonas putida HB3267 plasmid pPC9, complete sequence",Pseudomonas putida HB3267,Pseudomonas putida HB3267,,,,taxon:1215088,BioProject:PRJNA224116,BioSample:SAMN02604102,Assembly:GCF_000325725.1,Antibiotic resistance determinants in a Pseudomonas putida strain isolated from a hospital,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019906.1,"Pseudomonas putida HB3267 plasmid pPC9, complete sequence",Pseudomonas putida HB3267,Pseudomonas putida HB3267,,,,taxon:1215088,BioProject:PRJNA224116,BioSample:SAMN02604102,Assembly:GCF_000325725.1,Antibiotic resistance determinants in a Pseudomonas putida strain isolated from a hospital,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019940.1,"Thioflavicoccus mobilis 8321, complete sequence",Thioflavicoccus mobilis 8321,Thioflavicoccus mobilis 8321,"flat, laminated microbial mat in a salt marsh",,USA,taxon:765912,BioProject:PRJNA224116,BioSample:SAMN02232063,Assembly:GCF_000327045.1,Complete sequence of chromosome of Thioflavicoccus mobilis 8321,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019940.1,"Thioflavicoccus mobilis 8321, complete sequence",Thioflavicoccus mobilis 8321,Thioflavicoccus mobilis 8321,"flat, laminated microbial mat in a salt marsh",,USA,taxon:765912,BioProject:PRJNA224116,BioSample:SAMN02232063,Assembly:GCF_000327045.1,Complete sequence of chromosome of Thioflavicoccus mobilis 8321,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_019955.1,"Vibrio parahaemolyticus BB22OP chromosome 1, complete sequence",Vibrio parahaemolyticus BB22OP,Vibrio parahaemolyticus BB22OP,,,,taxon:1211705,BioProject:PRJNA224116,BioSample:SAMN02604302,Assembly:GCF_000328405.1,Complete Genome Sequence of Prepandemic Vibrio parahaemolyticus BB22OP,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_020125.1,"Riemerella anatipestifer RA-CH-2, complete sequence",Riemerella anatipestifer RA-CH-2,Riemerella anatipestifer RA-CH-2,,,,taxon:1271752,BioProject:PRJNA224116,BioSample:SAMN02602992,Assembly:GCF_000331695.1,Comparative genomics of Riemerella anatipestifer reveals genetic diversity,Riemerella anatipestifer RA-CH-2,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_020156.1,"Nonlabens dokdonensis DSW-6, complete sequence",Nonlabens dokdonensis DSW-6,Nonlabens dokdonensis DSW-6,,,,taxon:592029,BioProject:PRJNA224116,BioSample:SAMN02603479,Assembly:GCF_000332115.1,Genomic makeup of the marine flavobacterium Nonlabens (Donghaeana) dokdonensis and identification of a novel class of rhodopsins,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_020180.1,"Klebsiella aerogenes EA1509E plasmid pEA1509_B, complete sequence",Klebsiella aerogenes EA1509E,Klebsiella aerogenes EA1509E,,,,taxon:935296,BioProject:PRJNA224116,BioSample:SAMEA3138432,Assembly:GCF_000334515.1,The rhizome of the multidrug-resistant Enterobacter aerogenes genome reveals how new 'killer bugs' are created because of a sympatric lifestyle,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_020209.1,"Pseudomonas poae RE*1-1-14, complete sequence",Pseudomonas poae RE*1-1-14,Pseudomonas poae RE*1-1-14,endorhiza sugar beet,,,taxon:1282356,BioProject:PRJNA224116,BioSample:SAMN02603296,Assembly:GCF_000336465.1,"Complete Genome Sequence of the Sugar Beet Endophyte Pseudomonas poae RE*1-1-14, a Disease-Suppressive Bacterium",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_020291.1,"Clostridium saccharoperbutylacetonicum N1-4(HMT), complete sequence",Clostridium saccharoperbutylacetonicum N1-4(HMT),Clostridium saccharoperbutylacetonicum N1-4(HMT),,,,taxon:931276,BioProject:PRJNA224116,BioSample:SAMN02603265,Assembly:GCF_000340885.1,Complete Genome Sequence of the Solvent Producer Clostridium saccharoperbutylacetonicum Strain DSM 14923,Genome sequence of Clostridium saccharoperbutylacetonicum N1-4(HMT),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_020291.1,"Clostridium saccharoperbutylacetonicum N1-4(HMT), complete sequence",Clostridium saccharoperbutylacetonicum N1-4(HMT),Clostridium saccharoperbutylacetonicum N1-4(HMT),,,,taxon:931276,BioProject:PRJNA224116,BioSample:SAMN02603265,Assembly:GCF_000340885.1,Complete Genome Sequence of the Solvent Producer Clostridium saccharoperbutylacetonicum Strain DSM 14923,Genome sequence of Clostridium saccharoperbutylacetonicum N1-4(HMT),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_020304.1,"Desulfocapsa sulfexigens DSM 10523, complete sequence",Desulfocapsa sulfexigens DSM 10523,Desulfocapsa sulfexigens DSM 10523,,,,taxon:1167006,BioProject:PRJNA224116,BioSample:SAMN02602964,Assembly:GCF_000341395.1,"Complete genome sequence of Desulfocapsa sulfexigens, a marine Delta-Proteobacterium specialized in disproportionating inorganic sulfur compounds",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_020304.1,"Desulfocapsa sulfexigens DSM 10523, complete sequence",Desulfocapsa sulfexigens DSM 10523,Desulfocapsa sulfexigens DSM 10523,,,,taxon:1167006,BioProject:PRJNA224116,BioSample:SAMN02602964,Assembly:GCF_000341395.1,"Complete genome sequence of Desulfocapsa sulfexigens, a marine Delta-Proteobacterium specialized in disproportionating inorganic sulfur compounds",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP018202.1,"Pseudomonas syringae pv. actinidiae ICMP 9853 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae pv. actinidiae ICMP 9853,,1984,Japan,taxon:1104678,BioProject:PRJNA224116,BioSample:SAMN02471921,Assembly:GCF_000344335.2,Comparison of genome features in Pseudomonas syringae pv. actinidiae (PSA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-01-01 00:00:00
NZ_CP012179.1,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae pv. actinidiae ICMP 18708,,2010-11,New Zealand,taxon:1104679,BioProject:PRJNA224116,BioSample:SAMN02471917,Assembly:GCF_000344355.2,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,The complete genome of Pseudomonas syringae pv. actinidiae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00
NZ_CP012179.1,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae pv. actinidiae ICMP 18708,,2010-11,New Zealand,taxon:1104679,BioProject:PRJNA224116,BioSample:SAMN02471917,Assembly:GCF_000344355.2,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,The complete genome of Pseudomonas syringae pv. actinidiae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00
NZ_CP012179.1,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae pv. actinidiae ICMP 18708,,2010-11,New Zealand,taxon:1104679,BioProject:PRJNA224116,BioSample:SAMN02471917,Assembly:GCF_000344355.2,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,The complete genome of Pseudomonas syringae pv. actinidiae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00
NZ_CP012179.1,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae pv. actinidiae ICMP 18708,,2010-11,New Zealand,taxon:1104679,BioProject:PRJNA224116,BioSample:SAMN02471917,Assembly:GCF_000344355.2,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,The complete genome of Pseudomonas syringae pv. actinidiae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00
NZ_CP012179.1,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae pv. actinidiae ICMP 18708,,2010-11,New Zealand,taxon:1104679,BioProject:PRJNA224116,BioSample:SAMN02471917,Assembly:GCF_000344355.2,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,The complete genome of Pseudomonas syringae pv. actinidiae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00
NZ_CP012179.1,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae pv. actinidiae ICMP 18708,,2010-11,New Zealand,taxon:1104679,BioProject:PRJNA224116,BioSample:SAMN02471917,Assembly:GCF_000344355.2,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,The complete genome of Pseudomonas syringae pv. actinidiae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00
NZ_CP012179.1,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae pv. actinidiae ICMP 18708,,2010-11,New Zealand,taxon:1104679,BioProject:PRJNA224116,BioSample:SAMN02471917,Assembly:GCF_000344355.2,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,The complete genome of Pseudomonas syringae pv. actinidiae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00
NZ_CP012179.1,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae pv. actinidiae ICMP 18708,,2010-11,New Zealand,taxon:1104679,BioProject:PRJNA224116,BioSample:SAMN02471917,Assembly:GCF_000344355.2,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,The complete genome of Pseudomonas syringae pv. actinidiae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00
NZ_CP012179.1,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae pv. actinidiae ICMP 18708,,2010-11,New Zealand,taxon:1104679,BioProject:PRJNA224116,BioSample:SAMN02471917,Assembly:GCF_000344355.2,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,The complete genome of Pseudomonas syringae pv. actinidiae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00
NZ_CP012179.1,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome",Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae pv. actinidiae ICMP 18708,,2010-11,New Zealand,taxon:1104679,BioProject:PRJNA224116,BioSample:SAMN02471917,Assembly:GCF_000344355.2,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,The complete genome of Pseudomonas syringae pv. actinidiae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-01 00:00:00
NZ_CP032631.1,"Pseudomonas syringae pv. actinidiae str. Shaanxi_M228 chromosome, complete genome",Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,,2010-12,China: Shaanxi,taxon:1108972,BioProject:PRJNA224116,BioSample:SAMN02471925,Assembly:GCF_000344475.3,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,"Complete genome sequence of the kiwifruit pathogen Pseudomonas syringae pv. actinidiae Biovar 3, originating from China",Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-01 00:00:00
NZ_CP032631.1,"Pseudomonas syringae pv. actinidiae str. Shaanxi_M228 chromosome, complete genome",Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,,2010-12,China: Shaanxi,taxon:1108972,BioProject:PRJNA224116,BioSample:SAMN02471925,Assembly:GCF_000344475.3,Pseudomonas syringae pv. actinidiae from recent outbreaks of kiwifruit bacterial canker belong to different clones that originated in China,"Complete genome sequence of the kiwifruit pathogen Pseudomonas syringae pv. actinidiae Biovar 3, originating from China",Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-01 00:00:00
